chut,hymenofor,jedla,jmeno,klobouk_barva,klobouk_povrch,klobouk_tvar,konzistence,latin,pochva,prsten,tren_barva,tren_povrch,tren_tvar,vune,vyskyt_doba,vyskyt_misto
['kořenitá'],['lupeny'],['jedlá'],Strmělka nálevkovitá ,"['hnědá, okrová']","['plstnatý, lysý']","['vmáčklý, s\xa0hrbolkem']",['pružná'],(Clitocybe gibba),['nemá'],['nemá'],"['hnědá, okrová']",['hladký'],['válcovitý'],"['příjemná, nevýrazná']","['květen, červen, červenec, srpen, září, říjen, listopad, prosinec']","['jehličnatý les, listnatý les, smíšený les']"
"['příjemná, nevýrazná']",['lupeny'],['jedlá'],Šťavnatka březnovka ,"['bílá, šedá']",['hladký'],"['polokulovitý, plochý, vmáčklý, klenutý']",['křehká'],(Hygrophorus marzuolus),['nemá'],['nemá'],['bílá'],['vláknitý'],['válcovitý'],['příjemná'],"['březen, duben, květen']","['jehličnatý les, listnatý les, smíšený les']"
"['nevýrazná, kyselá']",['lupeny'],['jedlá'],Šafránka červenožlutá ,['žlutá'],['šupinkatý'],"['polokulovitý, plochý, kuželovitý']",['tvrdá'],(Tricholomopsis rutilans),['nemá'],['nemá'],['žlutá'],['zrnitý'],['válcovitý'],['-'],"['červenec, srpen, září, říjen']","['jehličnatý les, smíšený les']"
['nevýrazná'],['lupeny'],['jedlá'],Šťavnatka modřínová ,['žlutá'],['slizký'],"['plochý, vmáčklý, klenutý']",['křehká'],(Hygrophorus lucorum),['nemá'],['má'],['žlutá'],['-'],['válcovitý'],['nevýrazná'],"['září, říjen, listopad, prosinec']","['jehličnatý les, smíšený les']"
['nevýrazná'],['lupeny'],['jedlá'],Šťavnatka pomrazka ,"['hnědá, olivová']","['slizký, vláknitý']","['plochý, vmáčklý, klenutý']",['křehká'],(Hygrophorus hypothejus),['nemá'],['má'],['žlutá'],['hladký'],['válcovitý'],['nevýrazná'],"['září, říjen, listopad, prosinec']","['jehličnatý les, smíšený les, kosodřevina']"
"['hořká, trpká']",['lupeny'],['jedlá'],Šupinovka kostrbatá ,"['žlutá, oranžová']",['šupinkatý'],"['polokulovitý, plochý, kuželovitý']",['tvrdá'],(Pholiota squarrosa),['nemá'],['má'],['žlutá'],['-'],['válcovitý'],"['kořenitá, ředkvičková']","['srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les, mýtiny']"
"['nepříjemná, hořká']",['lupeny'],['nejedlá'],Šupinovka zhoubná ,"['bílá, okrová']","['šupinkatý, plstnatý, se zbytky plachetky (vločkatý)']","['polokulovitý, klenutý']",['tvrdá'],(Pholiota populnea),['nemá'],['má'],"['bílá, okrová']",['plstnatý'],"['kyjovitý, hlízovitý']",['nevýrazná'],"['září, říjen, listopad']","['listnatý les, smíšený les, parky, jiné']"
['nevýrazná'],['lupeny'],['jedlá'],Třepenitka  maková ,"['žlutá, oranžová, okrová']","['hladký, lysý']","['polokulovitý, plochý, vypouklý']",['pružná'],(Hypholoma capnoides),['nemá'],['má'],['bílá'],"['hladký, lysý']",['válcovitý'],['nevýrazná'],"['březen, duben, květen, červen, červenec, srpen, září, říjen, listopad, prosinec']","['jehličnatý les, smíšený les, mýtiny, kosodřevina']"
"['příjemná, nevýrazná']",['jiné'],['smrtelně jedovatá'],Ucháč obecný ,"['hnědá, červená']","['hladký, jamkatý']",['kulovitý'],['dutá'],(Gyromitra esculenta),['nemá'],['nemá'],['bílá'],"['hladký, hrbolkatý']",['-'],['nevýrazná'],"['březen, duben, květen']","['jehličnatý les, mýtiny']"
['hořká'],['lupeny'],['nejedlá'],Třepenitka cihlová ,"['červená, okrová']","['hladký, lysý']","['polokulovitý, plochý, vypouklý']",['pružná'],(Hypholoma sublateritium),['nemá'],['má'],['bílá'],"['hladký, lysý']",['válcovitý'],['nevýrazná'],"['červenec, srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les, parky, sady, zahrady, mýtiny']"
